Plate,Col,Row,Compound,SMILES
1,1,A,DMSO,
1,2,A,DMSO,
1,3,A,DMSO,
1,4,A,DMSO,
1,5,A,78147250,CN1C(=O)C(c2ccccc2)CC12CCN(c1ncnc3[nH]cnc13)CC2
1,6,A,85123629,CCCSCCNC(=O)Nc1ccc(S(N)(=O)=O)cc1
1,7,A,43230204,O=C(c1ccccc1C(F)(F)F)N1C[C@H]2C[C@H](O)[C@H](O)C[C@H]2C1
1,8,A,80435535,O=C(c1nc2ccccc2[nH]c1=O)N1C[C@H]2C[C@H](O)[C@H](O)C[C@H]2C1
1,9,A,79618328,O=C(CN1C(=O)CCc2ccccc21)N1CC(OCc2ccccc2)C1
1,10,A,57797852,Cc1nc2n(c1C(=O)N(C)C)CCN(C(=O)Nc1ccc(Cl)nc1)C2
1,11,A,55736814,COc1ccc(-c2cncc(C(=O)N3CCCCC3)n2)c2ccc(C)nc12
1,12,A,90808141,O=C(c1cnc(Nc2ccccc2)nc1)N1CCCN(C(=O)C2CCC2)CC1
1,13,A,21515959,CCn1ccc2c(CN3CC[C@@H](NC(=O)c4ccncc4)[C@H](O)C3)cccc21
1,14,A,14412278,COc1ccc(CN2CCC3(CC2)Nc2ccccc2NC3=O)cc1C
1,15,A,20198287,O=C(NCCCCCN1CCOCC1)Nc1cc(F)c(F)c(F)c1
1,16,A,60116590,Cc1cc2nc(-c3ccccc3)cc(N(C)Cc3cnn(C)c3)n2n1
1,17,A,57497160,CN(C)C(=O)N1CCC(Oc2ccc(C(=O)NCc3ccccn3)cc2)CC1
1,18,A,93516595,COC(=O)c1cc2n(n1)CCCN(C(=O)c1cnn3cc(C)cnc13)C2
1,19,A,57289602,CS(=O)(=O)CC1CCCN(Cc2ccc3c(c2)OCO3)C1
1,20,A,93016249,COc1c(F)ccc(C(=O)N2CCN(C)C3(CCN(C)CC3)C2)c1F
1,21,A,40532148,Cc1nc(CCNc2nccc(-c3cccnc3)n2)nc2c1CCC2
1,22,A,47365205,O=C(/C=C/c1ccccc1)N1CCCC2(CCOC2)C1
